Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
Dallal Merwa Achour,F,17.0,176.0,45.0,Algeria,2012,London,Volleyball,Volleyball Women's Volleyball,
Haykel Al-Achouri,M,27.0,184.0,84.0,Tunisia,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Luz Mercedes Acosta Valdez,F,31.0,164.0,63.0,Mexico,2012,London,Weightlifting,Weightlifting Women's Middleweight,
"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,37.0,188.0,66.0,United States,2012,London,Athletics,Athletics Women's High Jump,
Crox Ernesto Acua Rodrguez,M,22.0,192.0,89.0,Venezuela,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
Mariko Adachi,F,29.0,162.0,51.0,Japan,2012,London,Triathlon,Triathlon Women's Olympic Distance,
Yumi Adachi,F,23.0,160.0,,Japan,2012,London,Synchronized Swimming,Synchronized Swimming Women's Team,
Idrissa Adam,M,27.0,178.0,79.0,Cameroon,2012,London,Athletics,Athletics Men's 100 metres,
Tomasz Adamiec,M,30.0,171.0,69.5,Poland,2012,London,Judo,Judo Men's Lightweight,
Nafissatou Moussa Adamou,F,14.0,172.0,72.0,Niger,2012,London,Swimming,Swimming Women's 50 metres Freestyle,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,2012,London,Athletics,Athletics Men's 100 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,2012,London,Athletics,Athletics Men's 200 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Natalie Cammile Adams (-Brannan),F,20.0,173.0,65.0,United States,2012,London,Swimming,Swimming Women's 200 metres Butterfly,
Luke Kendall Adams,M,35.0,189.0,70.0,Australia,2012,London,Athletics,Athletics Men's 50 kilometres Walk,
Lyukman Rasakovich Adams,M,23.0,194.0,87.0,Russia,2012,London,Athletics,Athletics Men's Triple Jump,
Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,2012,London,Boxing,Boxing Women's Flyweight,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,2012,London,Athletics,Athletics Women's Shot Put,Gold
Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,2012,London,Rowing,Rowing Men's Coxed Eights,Gold
"Christopher Thomas ""Chris"" Adcock",M,23.0,183.0,80.0,Great Britain,2012,London,Badminton,Badminton Mixed Doubles,
Jangy McKinley Addy,M,27.0,188.0,88.0,Liberia,2012,London,Athletics,Athletics Men's Decathlon,
Abrar Osman Adem,M,18.0,168.0,58.0,Eritrea,2012,London,Athletics,"Athletics Men's 5,000 metres",
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Margaret Adetutu Adeoye,F,27.0,162.0,65.0,Great Britain,2012,London,Athletics,Athletics Women's 200 metres,
Moriam Seun Adigun,F,25.0,153.0,52.0,Nigeria,2012,London,Athletics,Athletics Women's 100 metres Hurdles,
Christian Donfack Adjoufack,M,28.0,175.0,80.0,Cameroon,2012,London,Boxing,Boxing Men's Light-Heavyweight,
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,2012,London,Gymnastics,Gymnastics Women's Individual All-Around,
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,2012,London,Gymnastics,Gymnastics Women's Uneven Bars,
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,2012,London,Gymnastics,Gymnastics Women's Balance Beam,
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,2012,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"Adriana ""Adrianinha"" Moiss Pinto",F,33.0,170.0,65.0,Brazil,2012,London,Basketball,Basketball Women's Basketball,
Jasper Aerents,M,19.0,191.0,86.0,Belgium,2012,London,Swimming,Swimming Men's 50 metres Freestyle,
Jasper Aerents,M,19.0,191.0,86.0,Belgium,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
Sara Aerts,F,28.0,182.0,64.0,Belgium,2012,London,Athletics,Athletics Women's Heptathlon,
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012,London,Gymnastics,Gymnastics Women's Floor Exercise,
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,2012,London,Gymnastics,Gymnastics Women's Balance Beam,
Khairulnizam Mohd Afendy,M,19.0,182.0,70.0,Malaysia,2012,London,Sailing,Sailing Men's One Person Dinghy,
Franois Jacques Affolter,M,21.0,186.0,74.0,Switzerland,2012,London,Football,Football Men's Football,
