Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
Kalayathumkuzhi Mathews Binu,M,23.0,172.0,61.0,2004,Summer,Athina,Athletics,
Harishchandra Madhavrao Birajdar,M,22.0,192.0,100.0,1972,Summer,Munich,Wrestling,
Shahuraj Birajdar,M,25.0,167.0,54.0,1988,Summer,Seoul,Boxing,
Jagdish Kumar Singh Bishnoi,M,28.0,182.0,86.0,2000,Summer,Sydney,Athletics,
Madhumita Bisht,F,27.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Badminton,
Narendar Bisth Singh,M,28.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Boxing,
Soma Biswas,F,22.0,173.0,63.0,2000,Summer,Sydney,Athletics,
Soma Biswas,F,26.0,173.0,63.0,2004,Summer,Athina,Athletics,
Anju Bobby George (Markose-),F,27.0,175.0,62.0,2004,Summer,Athina,Athletics,
Anju Bobby George (Markose-),F,31.0,175.0,62.0,2008,Summer,Beijing,Athletics,
Pradip Bode Kumar,M,25.547694753577108,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Pradip Bode Kumar,M,25.547694753577108,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Lal Shah S. Bokhari,M,23.0,173.0,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Rohan Bopanna,M,32.0,190.0,87.0,2012,Summer,London,Tennis,
Rohan Bopanna,M,36.0,190.0,87.0,2016,Summer,Rio de Janeiro,Tennis,
Rohan Bopanna,M,36.0,190.0,87.0,2016,Summer,Rio de Janeiro,Tennis,
Charles Borromeo,M,25.0,174.0,59.0,1984,Summer,Los Angeles,Athletics,
Benoy Bose Kumar,M,18.0,171.63860830527497,67.75776754890678,1948,Summer,London,Boxing,
Benoy Bose Kumar,M,22.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Boxing,
Frank Gerald Singlehurst Brewin,M,22.0,171.63860830527497,67.75776754890678,1932,Summer,Los Angeles,Hockey,Gold
Jeremy John (Jarema Stanisaw-) Bujakowski,M,24.0,171.63860830527497,67.75776754890678,1964,Winter,Innsbruck,Alpine Skiing,
Jeremy John (Jarema Stanisaw-) Bujakowski,M,28.0,171.63860830527497,67.75776754890678,1968,Winter,Grenoble,Alpine Skiing,
Jeremy John (Jarema Stanisaw-) Bujakowski,M,28.0,171.63860830527497,67.75776754890678,1968,Winter,Grenoble,Alpine Skiing,
Jeremy John (Jarema Stanisaw-) Bujakowski,M,28.0,171.63860830527497,67.75776754890678,1968,Winter,Grenoble,Alpine Skiing,
R. Burns,M,25.547694753577108,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
R. Burns,M,25.547694753577108,171.63860830527497,67.75776754890678,1928,Summer,Amsterdam,Athletics,
Sandeep Byala,M,24.0,171.63860830527497,67.75776754890678,1992,Summer,Barcelona,Judo,
Netai Chand Bysack,M,31.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
Netai Chand Bysack,M,31.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Cycling,
